parcel_id,crop,area_da,irrigation,farmer_id,farmer_name,status,owner_username,assigned_farmer_username,assigned_farmer_name
P122,BUĞDAY (Dane),7110.0,Yagmurlama,C122,Recep Sarı,Çizim bekliyor,,,
P123,ARPA (Dane),5540.0,Yagmurlama,C123,Bekir Doğan,Çizim bekliyor,,,
P124,ÇAVDAR (Dane),40.0,Yagmurlama,C124,Ömer Polat,Çizim bekliyor,,,
P125,MISIR (Dane),11.0,Yagmurlama,C125,Kemal Bozkurt,Çizim bekliyor,,,
P126,KURU FASULYE,75.0,Yagmurlama,C126,Halil Uçar,Çizim bekliyor,,,
P127,NOHUT,650.0,Yagmurlama,C127,Emin Aydoğan,Çizim bekliyor,,,
P128,AYÇİÇEĞİ,153.0,Yagmurlama,C128,Şaban Şimşek,Çizim bekliyor,,,
P129,PATATES,630.0,Yagmurlama,C129,Adem Ergin,Çizim bekliyor,,,
P130,ŞEKER PANCARI,2800.0,Karık,C130,Yakup Arslan,Çizim bekliyor,,,
P131,ÇAVDAR (YEŞİLOT),130.0,Yagmurlama,C131,Veli Aslan,Çizim bekliyor,,,
P132,FİĞ (YEŞİLOT),350.0,Yagmurlama,C132,İsmail Bulut,Çizim bekliyor,,,
P133,YONCA (YEŞİLOT),2765.0,Yagmurlama,C133,Serkan Özer,Çizim bekliyor,,,
P134,SİLAJLIK MISIR,850.0,Yagmurlama,C134,Selim Kara,Çizim bekliyor,,,
P135,LAVANTA,7.0,Damla,C135,Mahmut Bilgin,Çizim bekliyor,,,
P136,SİVRİ BİBER,5.0,Damla,C136,Ferhat Köse,Çizim bekliyor,,,
P137,SALÇALIK BİBER,590.0,Damla,C137,Erdal Çelik,Çizim bekliyor,,,
P138,SOFRALIK DOMATES,120.0,Damla,C138,Cemal Koç,Çizim bekliyor,,,
P139,SALÇALIK DOMATES,5400.0,Damla,C139,Metin Güneş,Çizim bekliyor,,,
P140,FASULYE (TAZE),5.0,Damla,C140,Orhan Karaca,Çizim bekliyor,,,
P141,HIYAR (SOFRALIK),1.0,Damla,C141,Nuri Çetin,Çizim bekliyor,,,
P142,KABAK (ÇEREZLİK),4.0,Damla,C142,Sevgi Acar,Çizim bekliyor,,,
P143,KARPUZ,100.0,Damla,C143,Nermin Uzun,Çizim bekliyor,,,
P144,KAVUN,200.0,Damla,C144,Gül Şahin,Çizim bekliyor,,,
P145,LAHANA (BEYAZ),65.0,Yagmurlama,C145,Derya Korkmaz,Çizim bekliyor,,,
P146,SOĞAN (KURU),40.0,Yagmurlama,C146,Büşra Yalçın,Çizim bekliyor,,,
P147,BAĞ,2800.0,Damla,C147,Esra Kaplan,Çizim bekliyor,,,
P148,ARMUT,50.0,Damla,C148,Seda Bayram,Çizim bekliyor,,,
P149,ELMA,9546.0,Damla,C-BETUL,Betül Demir,Çizim bekliyor,betul.demir,betul.demir,Betül Demir
P150,ERİK,30.0,Damla,C150,Neslihan Çakır,Çizim bekliyor,,,
P151,KAYSI,356.0,Damla,C151,Ahmet Şahin,Çizim bekliyor,,,
P152,KİRAZ,15.0,Damla,C152,Mehmet Korkmaz,Çizim bekliyor,,,
P153,NEKTAR,16.0,Damla,C153,Mustafa Yalçın,Çizim bekliyor,,,
P154,ŞEFTALİ,8.0,Damla,C154,Ali Kaplan,Çizim bekliyor,,,
P155,BADEM,43.0,Damla,C155,Hasan Bayram,Çizim bekliyor,,,
P156,CEVİZ,597.0,Damla,C156,Hüseyin Sezer,Çizim bekliyor,,,
