parcel_id,village,parcel_type,main_crop_current,secondary_crop_current,area_da,irrigation_current,water_m3_current,profit_tl_current,orchard_lock,equal_village_share_m3,equal_parcel_quota_m3,farmer_id,farmer_name,selected_alternative_id,selected_alternative_label,selected_pattern,assignment_status,assignment_note,geometry_status,geometry_source,has_real_geojson,drawing_required,owner_username,assigned_farmer_username,assigned_farmer_name
P1,Sazlıca,field,BUĞDAY (Dane),,2700.0,Yagmurlama,1654641.0,7254999.9,0,20140016.162,428510.98217,C001,Ahmet Demir,current,Mevcut desen / Excel referansı,BUĞDAY (Dane),geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P2,Sazlıca,field,ARPA (Dane),,1000.0,Yagmurlama,515350.0,2600000.0,0,20140016.162,428510.98217,C002,Mehmet Yıldız,current,Mevcut desen / Excel referansı,ARPA (Dane),geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P3,Sazlıca,field,ÇAVDAR (Dane),,40.0,Yagmurlama,20557.6,100000.0,0,20140016.162,428510.98217,C003,Mustafa Kurt,current,Mevcut desen / Excel referansı,ÇAVDAR (Dane),geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P4,Sazlıca,field,TRTİKALE (Dane),,70.0,Yagmurlama,37950.5,189000.0,0,20140016.162,428510.98217,C004,Ali Avcı,current,Mevcut desen / Excel referansı,TRTİKALE (Dane),geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P5,Sazlıca,field,YULAF (Dane),,50.0,Yagmurlama,24641.5,125000.0,0,20140016.162,428510.98217,C005,Hasan Eren,current,Mevcut desen / Excel referansı,YULAF (Dane),geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P6,Sazlıca,field,KURU FASULYE,,80.0,Yagmurlama,66760.8,440000.0,0,20140016.162,428510.98217,C006,Hüseyin Duran,current,Mevcut desen / Excel referansı,KURU FASULYE,geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P7,Sazlıca,field,NOHUT,,80.0,Yagmurlama,53188.8,256000.0,0,20140016.162,428510.98217,C007,İbrahim Turan,current,Mevcut desen / Excel referansı,NOHUT,geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P8,Sazlıca,field,AYÇİÇEĞİ,,20.0,Yagmurlama,19418.2,84000.0,0,20140016.162,428510.98217,C008,Murat Sarı,current,Mevcut desen / Excel referansı,AYÇİÇEĞİ,geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P9,Sazlıca,field,PATATES,,475.0,Yagmurlama,422522.0,1102483.075,0,20140016.162,428510.98217,C009,Osman Doğan,current,Mevcut desen / Excel referansı,PATATES,geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
P10,Sazlıca,field,BUĞDAY (YEŞİLOT),,20.0,Yagmurlama,9152.2,70000.0,0,20140016.162,428510.98217,C010,Yusuf Polat,current,Mevcut desen / Excel referansı,BUĞDAY (YEŞİLOT),geometry_ready,Parsel bilgileri Excel kaynağından girildi; kullanıcı yalnızca sınır çizimini/polygonu tamamlayacak.,Yüklü gerçek GeoJSON,uploaded_real_geojson,True,False,,,
